"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:1905818",7,"GO:0051983",0.96,3.84700342628217,3,"regulation of chromosome separation","regulation of chromosome segregation"
"GO:0150115",2,"GO:0034329",0.763,3.84700342628217,0,"cell-substrate junction organization","cell junction assembly"
"GO:0048568",3,"GO:0008360",0.279,3.84700342628217,31,"embryonic organ development","regulation of cell shape"
"GO:0010965",7,"GO:0051983",0.954,3.8283624823658,1,"regulation of mitotic sister chromatid separation","regulation of chromosome segregation"
"GO:0051492",1,"GO:0007015",0.844,3.74693230611484,16,"regulation of stress fiber assembly","actin filament organization"
"GO:0022407",5,"GO:0045785",0.893,3.73410692010875,13,"regulation of cell-cell adhesion","positive regulation of cell adhesion"
"GO:0043087",8,"GO:0043087",0.996,3.71278740118126,74,"regulation of GTPase activity","regulation of GTPase activity"
"GO:0050808",2,"GO:0034329",0.891,3.67564767762384,55,"synapse organization","cell junction assembly"
"GO:0007044",2,"GO:0034329",0.865,3.62986938115504,5,"cell-substrate junction assembly","cell junction assembly"
"GO:0048732",3,"GO:0008360",0.281,3.62986938115504,3,"gland development","regulation of cell shape"
"GO:0072080",3,"GO:0008360",0.25,3.62619376610348,0,"nephron tubule development","regulation of cell shape"
"GO:1902099",7,"GO:0051983",0.948,3.61568747515293,0,"regulation of metaphase/anaphase transition of cell cycle","regulation of chromosome segregation"
"GO:0007091",7,"GO:0051983",0.951,3.61568747515293,7,"metaphase/anaphase transition of mitotic cell cycle","regulation of chromosome segregation"
"GO:0051306",7,"GO:0051983",0.759,3.57809962765527,5,"mitotic sister chromatid separation","regulation of chromosome segregation"
"GO:0000819",7,"GO:0051983",0.839,3.57237758396228,3,"sister chromatid segregation","regulation of chromosome segregation"
"GO:0099177",9,"GO:0099177",0.995,3.55286644407161,0,"regulation of trans-synaptic signaling","regulation of trans-synaptic signaling"
"GO:0000070",7,"GO:0051983",0.824,3.55286644407161,37,"mitotic sister chromatid segregation","regulation of chromosome segregation"
"GO:0030900",3,"GO:0008360",0.278,3.51401063478394,48,"forebrain development","regulation of cell shape"
"GO:0050769",3,"GO:0008360",0.518,3.40537771326145,30,"positive regulation of neurogenesis","regulation of cell shape"
"GO:0072006",3,"GO:0008360",0.263,3.40237303097184,8,"nephron development","regulation of cell shape"
"GO:0033045",7,"GO:0051983",0.979,3.40237303097184,2,"regulation of sister chromatid segregation","regulation of chromosome segregation"
"GO:0010001",3,"GO:0008360",0.264,3.39202453832028,14,"glial cell differentiation","regulation of cell shape"
"GO:0050804",9,"GO:0099177",0.995,3.35697891816361,65,"modulation of chemical synaptic transmission","regulation of trans-synaptic signaling"
"GO:1990778",10,"GO:1990778",0.997,3.35289408948789,2,"protein localization to cell periphery","protein localization to cell periphery"
"GO:0030071",7,"GO:0051983",0.944,3.29867142928803,11,"regulation of mitotic metaphase/anaphase transition","regulation of chromosome segregation"
"GO:0090184",3,"GO:0008360",0.436,3.29867142928803,4,"positive regulation of kidney development","regulation of cell shape"
"GO:0007052",2,"GO:0034329",0.325,3.29867142928803,56,"mitotic spindle organization","cell junction assembly"
"GO:0007059",7,"GO:0051983",0.882,3.29867142928803,86,"chromosome segregation","regulation of chromosome segregation"
"GO:0030048",1,"GO:0007015",0.767,3.26600879497021,20,"actin filament-based movement","actin filament organization"
"GO:0072659",10,"GO:1990778",0.981,3.21760482438047,192,"protein localization to plasma membrane","protein localization to cell periphery"
"GO:0051383",2,"GO:0034329",0.285,3.16465684756118,6,"kinetochore organization","cell junction assembly"
"GO:0051304",7,"GO:0051983",0.78,3.16465684756118,6,"chromosome separation","regulation of chromosome segregation"
"GO:0007599",6,"GO:0035633",0.385,3.10429167202981,9,"hemostasis","maintenance of blood-brain barrier"
"GO:0001885",3,"GO:0008360",0.238,3.10404672559667,3,"endothelial cell development","regulation of cell shape"
"GO:0043547",8,"GO:0043087",0.975,3.09320499347687,333,"positive regulation of GTPase activity","regulation of GTPase activity"
"GO:0007409",3,"GO:0008360",0.743,3.07885933743617,83,"axonogenesis","regulation of cell shape"
"GO:0018108",11,"GO:0018108",0.997,3.07195310732789,132,"peptidyl-tyrosine phosphorylation","peptidyl-tyrosine phosphorylation"
"GO:0140014",2,"GO:0034329",0.355,3.0553415217782,3,"mitotic nuclear division","cell junction assembly"
"GO:0022409",5,"GO:0045785",0.963,3.02401815880992,20,"positive regulation of cell-cell adhesion","positive regulation of cell adhesion"
"GO:0001823",3,"GO:0008360",0.251,3.01764274457516,11,"mesonephros development","regulation of cell shape"
"GO:0018212",11,"GO:0018108",0.996,2.99965673362664,0,"peptidyl-tyrosine modification","peptidyl-tyrosine phosphorylation"
"GO:0051783",2,"GO:0034329",0.336,2.99965673362664,0,"regulation of nuclear division","cell junction assembly"
"GO:0072009",3,"GO:0008360",0.256,2.99965673362664,0,"nephron epithelium development","regulation of cell shape"
"GO:0031346",2,"GO:0034329",0.357,2.98834990363706,6,"positive regulation of cell projection organization","cell junction assembly"
"GO:0033047",7,"GO:0051983",0.965,2.97296250278703,0,"regulation of mitotic sister chromatid segregation","regulation of chromosome segregation"
"GO:0044331",5,"GO:0045785",0.569,2.96399396385235,9,"cell-cell adhesion mediated by cadherin","positive regulation of cell adhesion"
"GO:0060485",3,"GO:0008360",0.272,2.94135824281342,4,"mesenchyme development","regulation of cell shape"
"GO:0001822",3,"GO:0008360",0.279,2.91317463019446,100,"kidney development","regulation of cell shape"
"GO:0051056",9,"GO:0099177",0.495,2.91317463019446,146,"regulation of small GTPase mediated signal transduction","regulation of trans-synaptic signaling"
"GO:0034109",5,"GO:0045785",0.622,2.87791611942152,8,"homotypic cell-cell adhesion","positive regulation of cell adhesion"
"GO:0072001",3,"GO:0008360",0.28,2.87791611942152,0,"renal system development","regulation of cell shape"
"GO:1903035",4,"GO:1903034",0.947,2.8416882870435,0,"negative regulation of response to wounding","regulation of response to wounding"
"GO:0090183",3,"GO:0008360",0.454,2.82602693542053,0,"regulation of kidney development","regulation of cell shape"
"GO:0051321",12,"GO:0051321",0.997,2.82602693542053,65,"meiotic cell cycle","meiotic cell cycle"
"GO:0070243",13,"GO:0070243",1,2.82245579237638,0,"regulation of thymocyte apoptotic process","regulation of thymocyte apoptotic process"
"GO:0007596",6,"GO:0035633",0.385,2.81395312868419,199,"blood coagulation","maintenance of blood-brain barrier"
"GO:0043114",14,"GO:0043114",1,2.79857835777807,12,"regulation of vascular permeability","regulation of vascular permeability"
"GO:0098813",7,"GO:0051983",0.869,2.7576701047346,1,"nuclear chromosome segregation","regulation of chromosome segregation"
"GO:0007229",9,"GO:0099177",0.282,2.75376774758297,116,"integrin-mediated signaling pathway","regulation of trans-synaptic signaling"
"GO:0030168",6,"GO:0035633",0.361,2.72481477048658,108,"platelet activation","maintenance of blood-brain barrier"
"GO:0001655",3,"GO:0008360",0.284,2.71475445234213,13,"urogenital system development","regulation of cell shape"
"GO:0042110",15,"GO:0042110",0.994,2.66687394992152,48,"T cell activation","T cell activation"
"GO:0001570",3,"GO:0008360",0.416,2.65980210793698,65,"vasculogenesis","regulation of cell shape"
"GO:0048041",2,"GO:0034329",0.851,2.65980210793698,28,"focal adhesion assembly","cell junction assembly"
"GO:0003012",14,"GO:0043114",0.53,2.65017271479265,2,"muscle system process","regulation of vascular permeability"
"GO:0050817",14,"GO:0043114",0.199,2.65017271479265,2,"coagulation","regulation of vascular permeability"
"GO:0010639",2,"GO:0034329",0.36,2.65017271479265,0,"negative regulation of organelle organization","cell junction assembly"
"GO:0048167",9,"GO:0099177",0.907,2.59628330968696,52,"regulation of synaptic plasticity","regulation of trans-synaptic signaling"
"GO:0035270",3,"GO:0008360",0.252,2.59222933412824,0,"endocrine system development","regulation of cell shape"
"GO:0061351",16,"GO:0061351",0.999,2.58990322502672,12,"neural precursor cell proliferation","neural precursor cell proliferation"
"GO:0098657",10,"GO:1990778",0.304,2.58990322502672,2,"import into cell","protein localization to cell periphery"
"GO:0061448",3,"GO:0008360",0.267,2.58521451606571,2,"connective tissue development","regulation of cell shape"
"GO:2000027",3,"GO:0008360",0.682,2.58521451606571,1,"regulation of animal organ morphogenesis","regulation of cell shape"
"GO:0007043",2,"GO:0034329",0.895,2.58521451606571,39,"cell-cell junction assembly","cell junction assembly"
"GO:0140013",12,"GO:0051321",0.967,2.56974271200666,2,"meiotic nuclear division","meiotic cell cycle"
"GO:0000281",17,"GO:0000281",0.999,2.55999236519536,61,"mitotic cytokinesis","mitotic cytokinesis"
"GO:0048754",3,"GO:0008360",0.44,2.55999236519536,23,"branching morphogenesis of an epithelial tube","regulation of cell shape"
"GO:0001667",18,"GO:0001667",0.996,2.54497262349006,7,"ameboidal-type cell migration","ameboidal-type cell migration"
"GO:1903046",12,"GO:0051321",0.982,2.54497262349006,0,"meiotic cell cycle process","meiotic cell cycle"
"GO:0030865",2,"GO:0034329",0.306,2.54471855827962,19,"cortical cytoskeleton organization","cell junction assembly"
"GO:2000179",16,"GO:0061351",0.923,2.54471855827962,22,"positive regulation of neural precursor cell proliferation","neural precursor cell proliferation"
"GO:0001763",3,"GO:0008360",0.453,2.54471855827962,9,"morphogenesis of a branching structure","regulation of cell shape"
"GO:0051494",2,"GO:0034329",0.33,2.54471855827962,2,"negative regulation of cytoskeleton organization","cell junction assembly"
"GO:0072164",3,"GO:0008360",0.25,2.5406301888295,2,"mesonephric tubule development","regulation of cell shape"
"GO:0072163",3,"GO:0008360",0.25,2.5406301888295,1,"mesonephric epithelium development","regulation of cell shape"
"GO:1902904",2,"GO:0034329",0.329,2.54019170211849,1,"negative regulation of supramolecular fiber organization","cell junction assembly"
"GO:0034446",5,"GO:0045785",0.63,2.53730683227555,61,"substrate adhesion-dependent cell spreading","positive regulation of cell adhesion"
"GO:0061138",3,"GO:0008360",0.451,2.50034149781031,4,"morphogenesis of a branching epithelium","regulation of cell shape"
"GO:0000910",17,"GO:0000281",0.927,2.49564271316274,0,"cytokinesis","mitotic cytokinesis"
"GO:0003007",3,"GO:0008360",0.477,2.48702788855575,41,"heart morphogenesis","regulation of cell shape"
"GO:0035148",3,"GO:0008360",0.435,2.48383990519098,12,"tube formation","regulation of cell shape"
"GO:0090130",14,"GO:0043114",0.199,2.47005981609272,0,"tissue migration","regulation of vascular permeability"
"GO:1903039",5,"GO:0045785",0.948,2.46031924007981,3,"positive regulation of leukocyte cell-cell adhesion","positive regulation of cell adhesion"
"GO:0002576",10,"GO:1990778",0.465,2.44608109701653,127,"platelet degranulation","protein localization to cell periphery"
"GO:0016331",3,"GO:0008360",0.437,2.44394173917647,11,"morphogenesis of embryonic epithelium","regulation of cell shape"
"GO:0007093",12,"GO:0051321",0.581,2.44311783643578,39,"mitotic cell cycle checkpoint","meiotic cell cycle"
"GO:0051098",8,"GO:0043087",0.571,2.44107089109799,4,"regulation of binding","regulation of GTPase activity"
"GO:0003188",3,"GO:0008360",0.37,2.42848526449677,2,"heart valve formation","regulation of cell shape"
"GO:0033046",7,"GO:0051983",0.929,2.42216038232039,0,"negative regulation of sister chromatid segregation","regulation of chromosome segregation"
"GO:0070527",5,"GO:0045785",0.608,2.42062337452483,51,"platelet aggregation","positive regulation of cell adhesion"
"GO:0097485",3,"GO:0008360",0.71,2.41991769291317,3,"neuron projection guidance","regulation of cell shape"
"GO:0002064",3,"GO:0008360",0.259,2.41440128898807,12,"epithelial cell development","regulation of cell shape"
"GO:0010769",3,"GO:0008360",0.855,2.41322985175221,0,"regulation of cell morphogenesis involved in differentiation","regulation of cell shape"
"GO:0072088",3,"GO:0008360",0.427,2.41005246800878,0,"nephron epithelium morphogenesis","regulation of cell shape"
"GO:0001503",14,"GO:0043114",0.2,2.38859800523915,79,"ossification","regulation of vascular permeability"
"GO:2000816",7,"GO:0051983",0.923,2.37207379914412,3,"negative regulation of mitotic sister chromatid separation","regulation of chromosome segregation"
"GO:0000082",12,"GO:0051321",0.605,2.37207379914412,114,"G1/S transition of mitotic cell cycle","meiotic cell cycle"
"GO:0030866",2,"GO:0034329",0.297,2.37207379914412,40,"cortical actin cytoskeleton organization","cell junction assembly"
"GO:0071902",11,"GO:0018108",0.596,2.37207379914412,54,"positive regulation of protein serine/threonine kinase activity","peptidyl-tyrosine phosphorylation"
"GO:0006936",14,"GO:0043114",0.518,2.37207379914412,113,"muscle contraction","regulation of vascular permeability"
"GO:0043281",11,"GO:0018108",0.345,2.36263806657713,10,"regulation of cysteine-type endopeptidase activity involved in apoptotic process","peptidyl-tyrosine phosphorylation"
"GO:0008630",9,"GO:0099177",0.28,2.36263806657713,48,"intrinsic apoptotic signaling pathway in response to DNA damage","regulation of trans-synaptic signaling"
"GO:0036293",4,"GO:1903034",0.168,2.36263806657713,0,"response to decreased oxygen levels","regulation of response to wounding"
"GO:0051985",7,"GO:0051983",0.932,2.35817703068005,0,"negative regulation of chromosome segregation","regulation of chromosome segregation"
"GO:0051100",8,"GO:0043087",0.532,2.35387869876613,2,"negative regulation of binding","regulation of GTPase activity"
"GO:0071174",12,"GO:0051321",0.513,2.3533497362901,0,"mitotic spindle checkpoint","meiotic cell cycle"
"GO:0071173",12,"GO:0051321",0.514,2.3533497362901,0,"spindle assembly checkpoint","meiotic cell cycle"
"GO:1902905",2,"GO:0034329",0.34,2.3533497362901,1,"positive regulation of supramolecular fiber organization","cell junction assembly"
"GO:0031577",12,"GO:0051321",0.514,2.3533497362901,0,"spindle checkpoint","meiotic cell cycle"
"GO:0070232",13,"GO:0070243",0.935,2.3533497362901,3,"regulation of T cell apoptotic process","regulation of thymocyte apoptotic process"
"GO:0007094",12,"GO:0051321",0.513,2.3533497362901,28,"mitotic spindle assembly checkpoint","meiotic cell cycle"
"GO:0030324",3,"GO:0008360",0.261,2.3533497362901,85,"lung development","regulation of cell shape"
"GO:0044409",19,"GO:0044409",0.999,2.35120975203601,0,"entry into host","entry into host"
"GO:0002791",10,"GO:1990778",0.309,2.35120975203601,0,"regulation of peptide secretion","protein localization to cell periphery"
"GO:0001838",3,"GO:0008360",0.428,2.35120975203601,2,"embryonic epithelial tube formation","regulation of cell shape"
"GO:0061333",3,"GO:0008360",0.423,2.32331145235136,4,"renal tubule morphogenesis","regulation of cell shape"
"GO:0010631",14,"GO:0043114",0.198,2.32331145235136,6,"epithelial cell migration","regulation of vascular permeability"
"GO:0072028",3,"GO:0008360",0.432,2.32331145235136,1,"nephron morphogenesis","regulation of cell shape"
"GO:1905819",7,"GO:0051983",0.927,2.32059032350782,0,"negative regulation of chromosome separation","regulation of chromosome segregation"
"GO:0021915",3,"GO:0008360",0.254,2.32059032350782,29,"neural tube development","regulation of cell shape"
"GO:0007088",2,"GO:0034329",0.332,2.32059032350782,25,"regulation of mitotic nuclear division","cell junction assembly"
"GO:0010038",4,"GO:1903034",0.171,2.30786582384706,12,"response to metal ion","regulation of response to wounding"
"GO:0051496",1,"GO:0007015",0.808,2.30550384406961,61,"positive regulation of stress fiber assembly","actin filament organization"
"GO:0072132",3,"GO:0008360",0.412,2.30550384406961,0,"mesenchyme morphogenesis","regulation of cell shape"
"GO:0001889",3,"GO:0008360",0.25,2.30550384406961,76,"liver development","regulation of cell shape"
"GO:2000177",16,"GO:0061351",0.958,2.30484898888987,9,"regulation of neural precursor cell proliferation","neural precursor cell proliferation"
"GO:0090557",3,"GO:0008360",0.215,2.30405880167579,16,"establishment of endothelial intestinal barrier","regulation of cell shape"
"GO:0001657",3,"GO:0008360",0.248,2.30405880167579,37,"ureteric bud development","regulation of cell shape"
"GO:0003174",3,"GO:0008360",0.21,2.30405880167579,1,"mitral valve development","regulation of cell shape"
"GO:1902414",10,"GO:1990778",0.536,2.30405880167579,8,"protein localization to cell junction","protein localization to cell periphery"
"GO:0007178",9,"GO:0099177",0.333,2.28439299849665,9,"transmembrane receptor protein serine/threonine kinase signaling pathway","regulation of trans-synaptic signaling"
"GO:0060395",9,"GO:0099177",0.278,2.28366523246082,81,"SMAD protein signal transduction","regulation of trans-synaptic signaling"
"GO:0031333",2,"GO:0034329",0.533,2.282609261296,38,"negative regulation of protein-containing complex assembly","cell junction assembly"
"GO:0007411",3,"GO:0008360",0.709,2.282609261296,252,"axon guidance","regulation of cell shape"
"GO:0009952",3,"GO:0008360",0.26,2.282609261296,98,"anterior/posterior pattern specification","regulation of cell shape"
"GO:0098739",10,"GO:1990778",0.293,2.282609261296,3,"import across plasma membrane","protein localization to cell periphery"
"GO:0090132",14,"GO:0043114",0.198,2.282609261296,1,"epithelium migration","regulation of vascular permeability"
"GO:0050708",10,"GO:1990778",0.589,2.25504326998046,17,"regulation of protein secretion","protein localization to cell periphery"
"GO:0030323",3,"GO:0008360",0.262,2.24534465483097,4,"respiratory tube development","regulation of cell shape"
"GO:0048599",20,"GO:0048599",1,2.24534465483097,13,"oocyte development","oocyte development"
"GO:0090068",12,"GO:0051321",0.605,2.24534465483097,2,"positive regulation of cell cycle process","meiotic cell cycle"
"GO:0032272",2,"GO:0034329",0.511,2.23365135361816,1,"negative regulation of protein polymerization","cell junction assembly"
"GO:1901990",12,"GO:0051321",0.631,2.23064958212329,81,"regulation of mitotic cell cycle phase transition","meiotic cell cycle"
"GO:0008154",1,"GO:0007015",0.931,2.22726620994063,23,"actin polymerization or depolymerization","actin filament organization"
"GO:0150116",2,"GO:0034329",0.733,2.22685811462922,0,"regulation of cell-substrate junction organization","cell junction assembly"
"GO:1903037",5,"GO:0045785",0.872,2.20517546523383,3,"regulation of leukocyte cell-cell adhesion","positive regulation of cell adhesion"
"GO:0061008",3,"GO:0008360",0.25,2.20517546523383,0,"hepaticobiliary system development","regulation of cell shape"
"GO:0008064",6,"GO:0035633",0.368,2.20517546523383,6,"regulation of actin polymerization or depolymerization","maintenance of blood-brain barrier"
"GO:0007265",9,"GO:0099177",0.312,2.20517546523383,84,"Ras protein signal transduction","regulation of trans-synaptic signaling"
"GO:0045666",3,"GO:0008360",0.505,2.20517546523383,92,"positive regulation of neuron differentiation","regulation of cell shape"
"GO:0045841",7,"GO:0051983",0.919,2.2046583705044,2,"negative regulation of mitotic metaphase/anaphase transition","regulation of chromosome segregation"
"GO:0072078",3,"GO:0008360",0.421,2.2046583705044,0,"nephron tubule morphogenesis","regulation of cell shape"
"GO:0021782",3,"GO:0008360",0.249,2.20444876704592,4,"glial cell development","regulation of cell shape"
"GO:0051225",2,"GO:0034329",0.528,2.19138478570428,46,"spindle assembly","cell junction assembly"
"GO:0007159",5,"GO:0045785",0.725,2.18701565511141,31,"leukocyte cell-cell adhesion","positive regulation of cell adhesion"
"GO:0030832",6,"GO:0035633",0.368,2.18478558492239,2,"regulation of actin filament length","maintenance of blood-brain barrier"
"GO:0033048",7,"GO:0051983",0.927,2.18478558492239,0,"negative regulation of mitotic sister chromatid segregation","regulation of chromosome segregation"
"GO:0060993",3,"GO:0008360",0.437,2.17961222386701,9,"kidney morphogenesis","regulation of cell shape"
"GO:0048872",6,"GO:0035633",0.519,2.16151026156694,16,"homeostasis of number of cells","maintenance of blood-brain barrier"
"GO:0043583",3,"GO:0008360",0.263,2.14402159177653,10,"ear development","regulation of cell shape"
"GO:1901342",3,"GO:0008360",0.522,2.14224630697016,2,"regulation of vasculature development","regulation of cell shape"
"GO:0010976",3,"GO:0008360",0.495,2.13604115659738,121,"positive regulation of neuron projection development","regulation of cell shape"
"GO:0060840",3,"GO:0008360",0.247,2.13041630221691,8,"artery development","regulation of cell shape"
"GO:0070167",21,"GO:0070167",0.999,2.13017327864613,0,"regulation of biomineral tissue development","regulation of biomineral tissue development"
"GO:0110149",21,"GO:0070167",0.999,2.13017327864613,0,"regulation of biomineralization","regulation of biomineral tissue development"
"GO:0022612",3,"GO:0008360",0.436,2.12266058715253,7,"gland morphogenesis","regulation of cell shape"
"GO:2000047",5,"GO:0045785",0.676,2.12266058715253,0,"regulation of cell-cell adhesion mediated by cadherin","positive regulation of cell adhesion"
"GO:1902100",7,"GO:0051983",0.923,2.12266058715253,0,"negative regulation of metaphase/anaphase transition of cell cycle","regulation of chromosome segregation"
"GO:0045446",3,"GO:0008360",0.249,2.10935629737562,11,"endothelial cell differentiation","regulation of cell shape"
"GO:0007389",3,"GO:0008360",0.283,2.10229771756878,30,"pattern specification process","regulation of cell shape"
"GO:0032233",1,"GO:0007015",0.82,2.08163501366211,14,"positive regulation of actin filament bundle assembly","actin filament organization"
"GO:0051302",17,"GO:0000281",0.756,2.06374838911205,9,"regulation of cell division","mitotic cytokinesis"
"GO:0021987",3,"GO:0008360",0.246,2.06190475116266,71,"cerebral cortex development","regulation of cell shape"
"GO:0072175",3,"GO:0008360",0.431,2.0555549476128,1,"epithelial tube formation","regulation of cell shape"
"GO:0045787",12,"GO:0051321",0.621,2.05116057471257,37,"positive regulation of cell cycle","meiotic cell cycle"
"GO:0046661",20,"GO:0048599",0.62,2.03686158668248,5,"male sex differentiation","oocyte development"
"GO:0010718",3,"GO:0008360",0.437,2.03357753341722,52,"positive regulation of epithelial to mesenchymal transition","regulation of cell shape"
"GO:0007223",9,"GO:0099177",0.541,2.03137649661461,39,"Wnt signaling pathway, calcium modulating pathway","regulation of trans-synaptic signaling"
"GO:0051893",2,"GO:0034329",0.83,2.02878831933006,27,"regulation of focal adhesion assembly","cell junction assembly"
"GO:0007163",22,"GO:0007163",0.998,2.02878831933006,51,"establishment or maintenance of cell polarity","establishment or maintenance of cell polarity"
"GO:0090109",2,"GO:0034329",0.83,2.02878831933006,0,"regulation of cell-substrate junction assembly","cell junction assembly"
"GO:0060541",3,"GO:0008360",0.265,2.02878831933006,4,"respiratory system development","regulation of cell shape"
"GO:0030835",2,"GO:0034329",0.299,2.02878831933006,3,"negative regulation of actin filament depolymerization","cell junction assembly"
"GO:0030278",14,"GO:0043114",0.189,2.02878831933006,12,"regulation of ossification","regulation of vascular permeability"
"GO:0048017",9,"GO:0099177",0.297,2.02878831933006,4,"inositol lipid-mediated signaling","regulation of trans-synaptic signaling"
"GO:0051382",2,"GO:0034329",0.458,2.0252835389701,17,"kinetochore assembly","cell junction assembly"
"GO:0070242",13,"GO:0070243",0.981,2.0252835389701,5,"thymocyte apoptotic process","regulation of thymocyte apoptotic process"
"GO:1903829",10,"GO:1990778",0.651,2.00613155964269,7,"positive regulation of cellular protein localization","protein localization to cell periphery"
"GO:0042454",23,"GO:0042454",1,2.00407142309733,0,"ribonucleoside catabolic process","ribonucleoside catabolic process"
"GO:0003158",3,"GO:0008360",0.253,1.98514798291717,6,"endothelium development","regulation of cell shape"
"GO:0007160",5,"GO:0045785",0.679,1.97991176326723,112,"cell-matrix adhesion","positive regulation of cell adhesion"
"GO:0051495",2,"GO:0034329",0.344,1.97991176326723,5,"positive regulation of cytoskeleton organization","cell junction assembly"
"GO:0050885",14,"GO:0043114",0.437,1.97425195189536,44,"neuromuscular process controlling balance","regulation of vascular permeability"
"GO:0007548",20,"GO:0048599",0.652,1.97425195189536,23,"sex differentiation","oocyte development"
"GO:0033275",1,"GO:0007015",0.679,1.96195942963093,2,"actin-myosin filament sliding","actin filament organization"
"GO:0030049",1,"GO:0007015",0.677,1.96195942963093,43,"muscle filament sliding","actin filament organization"
"GO:2000116",11,"GO:0018108",0.349,1.96195942963093,3,"regulation of cysteine-type endopeptidase activity","peptidyl-tyrosine phosphorylation"
"GO:0032091",8,"GO:0043087",0.51,1.96195942963093,80,"negative regulation of protein binding","regulation of GTPase activity"
"GO:0098974",2,"GO:0034329",0.65,1.95104150172285,14,"postsynaptic actin cytoskeleton organization","cell junction assembly"
"GO:0150105",10,"GO:1990778",0.458,1.95104150172285,0,"protein localization to cell-cell junction","protein localization to cell periphery"
"GO:0061045",4,"GO:1903034",0.937,1.94423213242422,19,"negative regulation of wound healing","regulation of response to wounding"
"GO:0120032",2,"GO:0034329",0.546,1.94298023584734,0,"regulation of plasma membrane bounded cell projection assembly","cell junction assembly"
"GO:0030042",2,"GO:0034329",0.31,1.93997814973017,18,"actin filament depolymerization","cell junction assembly"
"GO:0001666",4,"GO:1903034",0.413,1.9250981795963,175,"response to hypoxia","regulation of response to wounding"
"GO:0009994",20,"GO:0048599",0.994,1.91458538569899,5,"oocyte differentiation","oocyte development"
