"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0061448",5,"GO:0061326",0.529,3.53550462816991,2,"connective tissue development","renal tubule development"
"GO:0050817",4,"GO:0044706",0.225,3.47718655835376,2,"coagulation","multi-multicellular organism process"
"GO:0015698",6,"GO:0098657",0.354,3.47200043386363,23,"inorganic anion transport","import into cell"
"GO:1990778",6,"GO:0098657",0.304,3.47121620779878,2,"protein localization to cell periphery","import into cell"
"GO:0045785",7,"GO:0031589",0.71,3.47121620779878,50,"positive regulation of cell adhesion","cell-substrate adhesion"
"GO:0018108",10,"GO:1901136",0.149,3.47121620779878,132,"peptidyl-tyrosine phosphorylation","carbohydrate derivative catabolic process"
"GO:0000041",6,"GO:0098657",0.347,3.47077363392542,0,"transition metal ion transport","import into cell"
"GO:0031346",2,"GO:0034329",0.357,3.46782968735418,6,"positive regulation of cell projection organization","cell junction assembly"
"GO:0042063",5,"GO:0061326",0.317,3.45529805118774,6,"gliogenesis","renal tubule development"
"GO:1901654",3,"GO:1903034",0.16,3.43809501019384,0,"response to ketone","regulation of response to wounding"
"GO:0009100",10,"GO:1901136",0.713,3.42870077154602,11,"glycoprotein metabolic process","carbohydrate derivative catabolic process"
"GO:0051384",3,"GO:1903034",0.155,3.42870077154602,60,"response to glucocorticoid","regulation of response to wounding"
"GO:0061138",5,"GO:0061326",0.619,3.41784319635958,4,"morphogenesis of a branching epithelium","renal tubule development"
"GO:0061333",5,"GO:0061326",0.975,3.41042478636052,4,"renal tubule morphogenesis","renal tubule development"
"GO:0018212",10,"GO:1901136",0.149,3.3873680766908,0,"peptidyl-tyrosine modification","carbohydrate derivative catabolic process"
"GO:0035633",9,"GO:0007599",0.385,3.3873680766908,33,"maintenance of blood-brain barrier","hemostasis"
"GO:0072659",6,"GO:0098657",0.299,3.35922279522556,192,"protein localization to plasma membrane","import into cell"
"GO:0098739",6,"GO:0098657",0.351,3.35922279522556,3,"import across plasma membrane","import into cell"
"GO:0010001",5,"GO:0061326",0.308,3.33613113012255,14,"glial cell differentiation","renal tubule development"
"GO:0150115",2,"GO:0034329",0.763,3.33613113012255,0,"cell-substrate junction organization","cell junction assembly"
"GO:0048608",5,"GO:0061326",0.327,3.33613113012255,4,"reproductive structure development","renal tubule development"
"GO:0022407",7,"GO:0031589",0.717,3.30103085032188,13,"regulation of cell-cell adhesion","cell-substrate adhesion"
"GO:0071322",3,"GO:1903034",0.155,3.29264286476461,1,"cellular response to carbohydrate stimulus","regulation of response to wounding"
"GO:0001889",5,"GO:0061326",0.292,3.27341638506358,76,"liver development","renal tubule development"
"GO:0099177",8,"GO:0051056",0.495,3.27341638506358,0,"regulation of trans-synaptic signaling","regulation of small GTPase mediated signal transduction"
"GO:0072164",5,"GO:0061326",0.785,3.25498331638455,2,"mesonephric tubule development","renal tubule development"
"GO:0043087",11,"GO:0043087",0.996,3.25498331638455,74,"regulation of GTPase activity","regulation of GTPase activity"
"GO:0072163",5,"GO:0061326",0.785,3.25498331638455,1,"mesonephric epithelium development","renal tubule development"
"GO:0001570",5,"GO:0061326",0.578,3.24174091577527,65,"vasculogenesis","renal tubule development"
"GO:0031960",3,"GO:1903034",0.157,3.22367908493635,6,"response to corticosteroid","regulation of response to wounding"
"GO:0007409",5,"GO:0061326",0.331,3.22367908493635,83,"axonogenesis","renal tubule development"
"GO:0061458",5,"GO:0061326",0.327,3.21937564932705,5,"reproductive system development","renal tubule development"
"GO:0015849",6,"GO:0098657",0.386,3.20540129229061,0,"organic acid transport","import into cell"
"GO:0050673",12,"GO:0050673",0.996,3.18597197127561,13,"epithelial cell proliferation","epithelial cell proliferation"
"GO:0046883",9,"GO:0007599",0.454,3.18035718211573,6,"regulation of hormone secretion","hemostasis"
"GO:0030866",2,"GO:0034329",0.297,3.18035718211573,40,"cortical actin cytoskeleton organization","cell junction assembly"
"GO:0099003",6,"GO:0098657",0.36,3.18035718211573,8,"vesicle-mediated transport in synapse","import into cell"
"GO:0050804",8,"GO:0051056",0.495,3.18035718211573,65,"modulation of chemical synaptic transmission","regulation of small GTPase mediated signal transduction"
"GO:0034754",9,"GO:0007599",0.44,3.18035718211573,0,"cellular hormone metabolic process","hemostasis"
"GO:0032409",11,"GO:0043087",0.571,3.18035718211573,0,"regulation of transporter activity","regulation of GTPase activity"
"GO:0001754",5,"GO:0061326",0.272,3.18035718211573,3,"eye photoreceptor cell differentiation","renal tubule development"
"GO:0043281",10,"GO:1901136",0.142,3.18035718211573,10,"regulation of cysteine-type endopeptidase activity involved in apoptotic process","carbohydrate derivative catabolic process"
"GO:0046942",6,"GO:0098657",0.386,3.15622938243665,1,"carboxylic acid transport","import into cell"
"GO:0060562",5,"GO:0061326",0.655,3.12949398080171,1,"epithelial tube morphogenesis","renal tubule development"
"GO:0061008",5,"GO:0061326",0.293,3.1169196935417,0,"hepaticobiliary system development","renal tubule development"
"GO:1903035",3,"GO:1903034",0.947,3.10689191560333,0,"negative regulation of response to wounding","regulation of response to wounding"
"GO:0043547",11,"GO:0043087",0.975,3.1025360223368,333,"positive regulation of GTPase activity","regulation of GTPase activity"
"GO:0090596",5,"GO:0061326",0.312,3.09849023527452,0,"sensory organ morphogenesis","renal tubule development"
"GO:0030038",1,"GO:0007015",0.854,3.06890353480127,0,"contractile actin filament bundle assembly","actin filament organization"
"GO:0043149",1,"GO:0007015",0.854,3.06890353480127,18,"stress fiber assembly","actin filament organization"
"GO:1905475",6,"GO:0098657",0.287,3.04019138101778,6,"regulation of protein localization to membrane","import into cell"
"GO:0001657",5,"GO:0061326",0.779,3.04019138101778,37,"ureteric bud development","renal tubule development"
"GO:0097485",5,"GO:0061326",0.316,3.03314823731183,3,"neuron projection guidance","renal tubule development"
"GO:0060993",5,"GO:0061326",0.797,3.03314823731183,9,"kidney morphogenesis","renal tubule development"
"GO:1903036",3,"GO:1903034",0.927,3.00932571822974,1,"positive regulation of response to wounding","regulation of response to wounding"
"GO:0022898",11,"GO:0043087",0.569,3.00531354811416,9,"regulation of transmembrane transporter activity","regulation of GTPase activity"
"GO:0030072",9,"GO:0007599",0.453,2.99908105446307,5,"peptide hormone secretion","hemostasis"
"GO:0031333",2,"GO:0034329",0.533,2.97152167770755,38,"negative regulation of protein-containing complex assembly","cell junction assembly"
"GO:0007044",2,"GO:0034329",0.865,2.96610529091304,5,"cell-substrate junction assembly","cell junction assembly"
"GO:0003007",5,"GO:0061326",0.323,2.96007308279252,41,"heart morphogenesis","renal tubule development"
"GO:0110149",13,"GO:0110149",0.999,2.96007308279252,0,"regulation of biomineralization","regulation of biomineralization"
"GO:0070167",13,"GO:0110149",0.999,2.96007308279252,0,"regulation of biomineral tissue development","regulation of biomineralization"
"GO:0055076",9,"GO:0007599",0.437,2.95649509619909,0,"transition metal ion homeostasis","hemostasis"
"GO:0007043",2,"GO:0034329",0.895,2.94910316318259,39,"cell-cell junction assembly","cell junction assembly"
"GO:0048592",5,"GO:0061326",0.299,2.94844697505046,3,"eye morphogenesis","renal tubule development"
"GO:0072088",5,"GO:0061326",0.778,2.93479959946488,0,"nephron epithelium morphogenesis","renal tubule development"
"GO:0006826",6,"GO:0098657",0.329,2.93479959946488,23,"iron ion transport","import into cell"
"GO:0002064",5,"GO:0061326",0.613,2.92837825801548,12,"epithelial cell development","renal tubule development"
"GO:0008154",1,"GO:0007015",0.931,2.92837825801548,23,"actin polymerization or depolymerization","actin filament organization"
"GO:0032231",1,"GO:0007015",0.855,2.92837825801548,1,"regulation of actin filament bundle assembly","actin filament organization"
"GO:0043112",10,"GO:1901136",0.141,2.90907837910823,1,"receptor metabolic process","carbohydrate derivative catabolic process"
"GO:0007411",5,"GO:0061326",0.315,2.88969439462377,252,"axon guidance","renal tubule development"
"GO:0090276",9,"GO:0007599",0.444,2.85205520148512,2,"regulation of peptide hormone secretion","hemostasis"
"GO:1904377",6,"GO:0098657",0.264,2.84816130495177,0,"positive regulation of protein localization to cell periphery","import into cell"
"GO:0042446",9,"GO:0007599",0.412,2.84816130495177,13,"hormone biosynthetic process","hemostasis"
"GO:0060485",5,"GO:0061326",0.54,2.8470351796514,4,"mesenchyme development","renal tubule development"
"GO:0008064",9,"GO:0007599",0.445,2.8470351796514,6,"regulation of actin polymerization or depolymerization","hemostasis"
"GO:0001654",5,"GO:0061326",0.321,2.8470351796514,45,"eye development","renal tubule development"
"GO:0051258",2,"GO:0034329",0.578,2.84325358860191,16,"protein polymerization","cell junction assembly"
"GO:0120178",9,"GO:0007599",0.4,2.84325358860191,0,"steroid hormone biosynthetic process","hemostasis"
"GO:0010769",5,"GO:0061326",0.268,2.83635195332258,0,"regulation of cell morphogenesis involved in differentiation","renal tubule development"
"GO:0006665",10,"GO:1901136",0.145,2.82405671525078,26,"sphingolipid metabolic process","carbohydrate derivative catabolic process"
"GO:0052547",10,"GO:1901136",0.151,2.82405671525078,1,"regulation of peptidase activity","carbohydrate derivative catabolic process"
"GO:0009743",3,"GO:1903034",0.161,2.82220932668527,13,"response to carbohydrate","regulation of response to wounding"
"GO:1904375",6,"GO:0098657",0.277,2.81539817149985,1,"regulation of protein localization to cell periphery","import into cell"
"GO:0030324",5,"GO:0061326",0.626,2.8142194191627,85,"lung development","renal tubule development"
"GO:0007162",7,"GO:0031589",0.679,2.81375254984261,54,"negative regulation of cell adhesion","cell-substrate adhesion"
"GO:0030832",9,"GO:0007599",0.445,2.81219058705531,2,"regulation of actin filament length","hemostasis"
"GO:0060041",5,"GO:0061326",0.297,2.80250905924026,57,"retina development in camera-type eye","renal tubule development"
"GO:0034446",7,"GO:0031589",0.887,2.80250905924026,61,"substrate adhesion-dependent cell spreading","cell-substrate adhesion"
"GO:0046660",14,"GO:0046660",0.999,2.80240110059274,0,"female sex differentiation","female sex differentiation"
"GO:0002791",6,"GO:0098657",0.369,2.80238031772088,0,"regulation of peptide secretion","import into cell"
"GO:1903078",6,"GO:0098657",0.262,2.80232989002201,59,"positive regulation of protein localization to plasma membrane","import into cell"
"GO:0090303",3,"GO:1903034",0.913,2.80232989002201,26,"positive regulation of wound healing","regulation of response to wounding"
"GO:0060675",5,"GO:0061326",0.955,2.80177365530668,3,"ureteric bud morphogenesis","renal tubule development"
"GO:0099173",2,"GO:0034329",0.808,2.80177365530668,10,"postsynapse organization","cell junction assembly"
"GO:0072028",5,"GO:0061326",0.788,2.80177365530668,1,"nephron morphogenesis","renal tubule development"
"GO:1903076",6,"GO:0098657",0.273,2.80177365530668,19,"regulation of protein localization to plasma membrane","import into cell"
"GO:0072078",5,"GO:0061326",0.97,2.80132608335837,0,"nephron tubule morphogenesis","renal tubule development"
"GO:0048754",5,"GO:0061326",0.612,2.79583641030741,23,"branching morphogenesis of an epithelial tube","renal tubule development"
"GO:0022612",5,"GO:0061326",0.296,2.7781372947704,7,"gland morphogenesis","renal tubule development"
"GO:0097106",2,"GO:0034329",0.697,2.77502587117194,2,"postsynaptic density organization","cell junction assembly"
"GO:0007051",15,"GO:0007051",0.998,2.77017972877395,19,"spindle organization","spindle organization"
"GO:1903825",6,"GO:0098657",0.355,2.76762788269155,1,"organic acid transmembrane transport","import into cell"
"GO:0001659",9,"GO:0007599",0.432,2.764270064044,20,"temperature homeostasis","hemostasis"
"GO:0030833",9,"GO:0007599",0.442,2.764270064044,30,"regulation of actin filament polymerization","hemostasis"
"GO:0035725",6,"GO:0098657",0.351,2.764270064044,122,"sodium ion transmembrane transport","import into cell"
"GO:0150063",5,"GO:0061326",0.321,2.76013192373474,1,"visual system development","renal tubule development"
"GO:0002576",6,"GO:0098657",0.333,2.75394973163613,127,"platelet degranulation","import into cell"
"GO:0042593",9,"GO:0007599",0.447,2.75394973163613,118,"glucose homeostasis","hemostasis"
"GO:0006865",6,"GO:0098657",0.369,2.75219969783437,47,"amino acid transport","import into cell"
"GO:0030041",1,"GO:0007015",0.915,2.74937970641537,39,"actin filament polymerization","actin filament organization"
"GO:0046916",9,"GO:0007599",0.426,2.74605496263297,0,"cellular transition metal ion homeostasis","hemostasis"
"GO:0048880",5,"GO:0061326",0.321,2.73435132389546,3,"sensory system development","renal tubule development"
"GO:0072171",5,"GO:0061326",0.96,2.7259040906527,0,"mesonephric tubule morphogenesis","renal tubule development"
"GO:0033500",9,"GO:0007599",0.447,2.71562643509186,2,"carbohydrate homeostasis","hemostasis"
"GO:0030073",9,"GO:0007599",0.442,2.68981424353578,35,"insulin secretion","hemostasis"
"GO:0051492",1,"GO:0007015",0.844,2.68981424353578,16,"regulation of stress fiber assembly","actin filament organization"
"GO:0051047",6,"GO:0098657",0.369,2.68898767651888,5,"positive regulation of secretion","import into cell"
"GO:1904861",2,"GO:0034329",0.78,2.68727207228061,7,"excitatory synapse assembly","cell junction assembly"
"GO:0030258",10,"GO:1901136",0.146,2.68727207228061,7,"lipid modification","carbohydrate derivative catabolic process"
"GO:0055072",9,"GO:0007599",0.421,2.67987714466776,38,"iron ion homeostasis","hemostasis"
"GO:0003188",5,"GO:0061326",0.251,2.67959528670814,2,"heart valve formation","renal tubule development"
"GO:0003018",4,"GO:0044706",0.213,2.67360801331532,0,"vascular process in circulatory system","multi-multicellular organism process"
"GO:0030048",1,"GO:0007015",0.767,2.67360801331532,20,"actin filament-based movement","actin filament organization"
"GO:0090184",5,"GO:0061326",0.735,2.66276436088495,4,"positive regulation of kidney development","renal tubule development"
"GO:0045807",6,"GO:0098657",0.331,2.66276436088495,24,"positive regulation of endocytosis","import into cell"
"GO:0050796",9,"GO:0007599",0.435,2.66065761844374,74,"regulation of insulin secretion","hemostasis"
"GO:0030323",5,"GO:0061326",0.627,2.66065761844374,4,"respiratory tube development","renal tubule development"
"GO:0001503",4,"GO:0044706",0.227,2.65561632656979,79,"ossification","multi-multicellular organism process"
"GO:0030540",14,"GO:0046660",0.87,2.64186353985318,5,"female genitalia development","female sex differentiation"
"GO:0050708",6,"GO:0098657",0.365,2.62923393006439,17,"regulation of protein secretion","import into cell"
"GO:2000116",10,"GO:1901136",0.143,2.60867742233001,3,"regulation of cysteine-type endopeptidase activity","carbohydrate derivative catabolic process"
"GO:1905039",6,"GO:0098657",0.355,2.58215846562569,2,"carboxylic acid transmembrane transport","import into cell"
"GO:0035137",5,"GO:0061326",0.246,2.58185676519133,8,"hindlimb morphogenesis","renal tubule development"
"GO:1901655",3,"GO:1903034",0.15,2.56516113445459,0,"cellular response to ketone","regulation of response to wounding"
"GO:1990845",16,"GO:1990845",0.999,2.55961163643052,10,"adaptive thermogenesis","adaptive thermogenesis"
"GO:0051216",5,"GO:0061326",0.519,2.55961163643052,61,"cartilage development","renal tubule development"
"GO:0120032",2,"GO:0034329",0.546,2.55578496064503,0,"regulation of plasma membrane bounded cell projection assembly","cell junction assembly"
"GO:0090183",5,"GO:0061326",0.765,2.55578496064503,0,"regulation of kidney development","renal tubule development"
"GO:0071326",3,"GO:1903034",0.155,2.55320987879352,0,"cellular response to monosaccharide stimulus","regulation of response to wounding"
"GO:0060042",5,"GO:0061326",0.279,2.55320987879352,8,"retina morphogenesis in camera-type eye","renal tubule development"
"GO:0034284",3,"GO:1903034",0.16,2.54100504038388,0,"response to monosaccharide","regulation of response to wounding"
"GO:0032271",2,"GO:0034329",0.562,2.54100504038388,0,"regulation of protein polymerization","cell junction assembly"
"GO:0045666",5,"GO:0061326",0.317,2.53764982124059,92,"positive regulation of neuron differentiation","renal tubule development"
"GO:0042110",17,"GO:0042110",0.994,2.52724624902251,48,"T cell activation","T cell activation"
"GO:0110020",1,"GO:0007015",0.757,2.52724624902251,0,"regulation of actomyosin structure organization","actin filament organization"
"GO:0072511",6,"GO:0098657",0.393,2.52464724382283,3,"divalent inorganic cation transport","import into cell"
"GO:0001890",5,"GO:0061326",0.297,2.52180758589758,37,"placenta development","renal tubule development"
"GO:0006970",3,"GO:1903034",0.37,2.52180758589758,19,"response to osmotic stress","regulation of response to wounding"
"GO:1902904",2,"GO:0034329",0.329,2.52180758589758,1,"negative regulation of supramolecular fiber organization","cell junction assembly"
"GO:0099084",2,"GO:0034329",0.701,2.52180758589758,0,"postsynaptic specialization organization","cell junction assembly"
"GO:0006821",6,"GO:0098657",0.34,2.51709255000287,39,"chloride transport","import into cell"
"GO:0002237",18,"GO:0002237",0.997,2.49955630018383,8,"response to molecule of bacterial origin","response to molecule of bacterial origin"
"GO:0015803",6,"GO:0098657",0.295,2.4993951400572,3,"branched-chain amino acid transport","import into cell"
"GO:0030500",13,"GO:0110149",0.981,2.49748316277737,22,"regulation of bone mineralization","regulation of biomineralization"
"GO:0042698",19,"GO:0042698",1,2.47334567148719,8,"ovulation cycle","ovulation cycle"
"GO:0043280",10,"GO:1901136",0.136,2.47334567148719,61,"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","carbohydrate derivative catabolic process"
"GO:0060491",2,"GO:0034329",0.547,2.47121466905186,4,"regulation of cell projection assembly","cell junction assembly"
"GO:0060541",5,"GO:0061326",0.309,2.47121466905186,4,"respiratory system development","renal tubule development"
"GO:1901342",5,"GO:0061326",0.327,2.46764698627881,2,"regulation of vasculature development","renal tubule development"
"GO:0098698",2,"GO:0034329",0.766,2.45285946309182,2,"postsynaptic specialization assembly","cell junction assembly"
"GO:0001701",5,"GO:0061326",0.292,2.45284482885989,202,"in utero embryonic development","renal tubule development"
"GO:0032535",9,"GO:0007599",0.47,2.45284482885989,1,"regulation of cellular component size","hemostasis"
"GO:0034109",7,"GO:0031589",0.609,2.45284482885989,8,"homotypic cell-cell adhesion","cell-substrate adhesion"
"GO:1901888",2,"GO:0034329",0.921,2.43744209574262,7,"regulation of cell junction assembly","cell junction assembly"
"GO:1901658",10,"GO:1901136",0.877,2.43716322832458,0,"glycosyl compound catabolic process","carbohydrate derivative catabolic process"
"GO:0097107",2,"GO:0034329",0.758,2.43716322832458,5,"postsynaptic density assembly","cell junction assembly"
"GO:1902850",15,"GO:0007051",0.743,2.43427842702029,2,"microtubule cytoskeleton organization involved in mitosis","spindle organization"
"GO:0120161",16,"GO:1990845",0.989,2.43427842702029,1,"regulation of cold-induced thermogenesis","adaptive thermogenesis"
"GO:0106106",16,"GO:1990845",0.989,2.43427842702029,0,"cold-induced thermogenesis","adaptive thermogenesis"
"GO:1903532",6,"GO:0098657",0.365,2.43395508045708,0,"positive regulation of secretion by cell","import into cell"
"GO:0061045",3,"GO:1903034",0.937,2.43395508045708,19,"negative regulation of wound healing","regulation of response to wounding"
"GO:0030100",6,"GO:0098657",0.353,2.43395508045708,39,"regulation of endocytosis","import into cell"
"GO:0030168",9,"GO:0007599",0.919,2.43395508045708,108,"platelet activation","hemostasis"
"GO:0050806",8,"GO:0051056",0.449,2.43395508045708,17,"positive regulation of synaptic transmission","regulation of small GTPase mediated signal transduction"
"GO:0060395",3,"GO:1903034",0.151,2.43395508045708,81,"SMAD protein signal transduction","regulation of response to wounding"
"GO:0048017",8,"GO:0051056",0.509,2.41515739156196,4,"inositol lipid-mediated signaling","regulation of small GTPase mediated signal transduction"
"GO:0051494",2,"GO:0034329",0.33,2.41515739156196,2,"negative regulation of cytoskeleton organization","cell junction assembly"
"GO:0006879",9,"GO:0007599",0.407,2.40897255964988,68,"cellular iron ion homeostasis","hemostasis"
"GO:0010952",10,"GO:1901136",0.141,2.40897255964988,13,"positive regulation of peptidase activity","carbohydrate derivative catabolic process"
"GO:0010718",5,"GO:0061326",0.465,2.40897255964988,52,"positive regulation of epithelial to mesenchymal transition","renal tubule development"
"GO:0014065",8,"GO:0051056",0.498,2.40255922483882,44,"phosphatidylinositol 3-kinase signaling","regulation of small GTPase mediated signal transduction"
"GO:0007052",15,"GO:0007051",0.962,2.37786087958067,56,"mitotic spindle organization","spindle organization"
"GO:0071331",3,"GO:1903034",0.155,2.37786087958067,0,"cellular response to hexose stimulus","regulation of response to wounding"
"GO:0030900",5,"GO:0061326",0.324,2.37786087958067,48,"forebrain development","renal tubule development"
"GO:0032412",11,"GO:0043087",0.568,2.37786087958067,2,"regulation of ion transmembrane transporter activity","regulation of GTPase activity"
"GO:0048041",2,"GO:0034329",0.851,2.37786087958067,28,"focal adhesion assembly","cell junction assembly"
"GO:1905477",6,"GO:0098657",0.277,2.37786087958067,7,"positive regulation of protein localization to membrane","import into cell"
"GO:0007548",14,"GO:0046660",0.919,2.37615028932784,23,"sex differentiation","female sex differentiation"
"GO:0009746",3,"GO:1903034",0.16,2.36719042222437,0,"response to hexose","regulation of response to wounding"
"GO:0032272",2,"GO:0034329",0.511,2.36240917805923,1,"negative regulation of protein polymerization","cell junction assembly"
"GO:0048259",6,"GO:0098657",0.333,2.35742422788266,3,"regulation of receptor-mediated endocytosis","import into cell"
"GO:0003279",5,"GO:0061326",0.294,2.35273999227237,11,"cardiac septum development","renal tubule development"
"GO:0006643",10,"GO:1901136",0.148,2.35273999227237,3,"membrane lipid metabolic process","carbohydrate derivative catabolic process"
"GO:0016101",10,"GO:1901136",0.138,2.35273999227237,4,"diterpenoid metabolic process","carbohydrate derivative catabolic process"
"GO:0048872",9,"GO:0007599",0.454,2.35201502230833,16,"homeostasis of number of cells","hemostasis"
"GO:0010810",7,"GO:0031589",0.944,2.3507353465716,2,"regulation of cell-substrate adhesion","cell-substrate adhesion"
"GO:0001894",9,"GO:0007599",0.448,2.3507353465716,21,"tissue homeostasis","hemostasis"
"GO:0009101",10,"GO:1901136",0.698,2.31533024909258,10,"glycoprotein biosynthetic process","carbohydrate derivative catabolic process"
"GO:0050885",4,"GO:0044706",0.189,2.31371812785568,44,"neuromuscular process controlling balance","multi-multicellular organism process"
"GO:0046530",5,"GO:0061326",0.281,2.31371812785568,0,"photoreceptor cell differentiation","renal tubule development"
"GO:2000241",14,"GO:0046660",0.585,2.31064354808505,0,"regulation of reproductive process","female sex differentiation"
"GO:0001658",5,"GO:0061326",0.94,2.31064354808505,43,"branching involved in ureteric bud morphogenesis","renal tubule development"
"GO:0010876",6,"GO:0098657",0.323,2.3074582319046,1,"lipid localization","import into cell"
"GO:0099504",6,"GO:0098657",0.357,2.289996250558,2,"synaptic vesicle cycle","import into cell"
"GO:0044409",18,"GO:0002237",0.538,2.289996250558,0,"entry into host","response to molecule of bacterial origin"
"GO:0050730",10,"GO:1901136",0.144,2.26830898243944,19,"regulation of peptidyl-tyrosine phosphorylation","carbohydrate derivative catabolic process"
"GO:0035116",5,"GO:0061326",0.242,2.26411818457394,29,"embryonic hindlimb morphogenesis","renal tubule development"
"GO:0001892",5,"GO:0061326",0.284,2.25640876514345,19,"embryonic placenta development","renal tubule development"
